index,wine_name,wine_region,wine_country,wine_rating,wine_reviews,wine_price,wine_link
689,Gimblett Gravels Chardonnay 2021,Trinity Hill,New Zealand,4.1,49,"32,978",https://www.vivino.com/trinity-hill-gimblett-gravels-chardonnay/w/2240133?year=2021&price_id=31600428
690,Lowburn Single Vineyard Chardonnay 2022,Matt Connell,New Zealand,4.0,48,"34,627",https://www.vivino.com/matt-connell-lowburn-single-vineyard-chardonnay/w/6837483?year=2022&price_id=35631000
691,Chablis Grand Cru 'Valmur' 2018,Raveneau,France,4.7,48,"927,448",https://www.vivino.com/raveneau-chablis-grand-cru-valmur/w/1198994?year=2018&price_id=36592878
692,SL Riesling Feinherb 2014,Schloss Lieser,Germany,3.8,48,"45,794",https://www.vivino.com/schloss-lieser-sl-riesling-feinherb/w/1207305?year=2014&price_id=23168854
693,L' Atypique Riesling 2022,Sato,New Zealand,4.0,48,"37,926",https://www.vivino.com/sato-l-atypique-riesling/w/10773320?year=2022&price_id=33483710
694,Scharzhofberger Riesling Spätlese 2003,Egon Müller - Scharzhof,Germany,4.3,47,"158,342",https://www.vivino.com/egon-muller-scharzhof-scharzhofberger-riesling-spatlese/w/86686?year=2003&price_id=2873663
695,Uco Chardonnay 2011,Urban,Argentina,3.7,47,"27,085",https://www.vivino.com/cl-urban-uco-chardonnay/w/1360453?year=2011&price_id=2804852
696,Riesling 2018,Hans Herzog - Hans Family Estate,New Zealand,3.6,47,"46,172",https://www.vivino.com/hans-herzog-hans-family-estate-riesling/w/1677842?year=2018&price_id=32855504
697,Rays Road Chardonnay 2022,Kumeu River,New Zealand,4.0,47,"37,101",https://www.vivino.com/kumeu-river-winery-rays-road-chardonnay/w/7477063?year=2022&price_id=33863490
698,Weissburgunder (Pinot Bianco) 2017,St. Michael-Eppan,Italy,3.8,46,"28,358",https://www.vivino.com/st-michael-eppan-weissburgunder-pinot-bianco/w/10084?year=2017&price_id=36485680
699,Colline Teatine Bianco 2012,Villa Gemma,Italy,3.8,46,"45,836",https://www.vivino.com/villa-gemma-abruzzo-colline-teatine-bianco/w/1895638?year=2012&price_id=7944016
700,Sauvignon Blanc 2016,Casa Silva,Chile,3.5,46,"17,918",https://www.vivino.com/casa-silva-sauvignon-blanc/w/1257021?year=2016&price_id=16730289
701,Les Clos Chablís Grand Cru 2004,Vincent Dauvissat,France,4.3,46,"476,085",https://www.vivino.com/vincent-dauvissat-les-clos-chablis-grand-cru/w/1974097?year=2004&price_id=35573199
702,Macon-Villages Blanc 2012,L . Tramier & Fils,France,3.6,46,"35,835",https://www.vivino.com/tramier-l-and-fils-macon-villages-blanc/w/1108438?year=2012&price_id=14650545
703,Chardonnay 2011,Barratt,Australia,4.1,46,"83,338",https://www.vivino.com/barratt-chardonnay/w/2265965?year=2011&price_id=21687579
704,Keltern Vineyard Single Vineyard Chardonnay 2016,Villa Maria,New Zealand,3.9,46,"70,912",https://www.vivino.com/villa-maria-auckland-keltern-vineyard-single-vineyard-chardonnay/w/1663980?year=2016&price_id=28582634
705,Alpine Rift Sauvignon Blanc 2022,Daylight Wine & Spirits,New Zealand,4.0,46,"19,783",https://www.vivino.com/daylight-wine-spirits-alpine-rift-sauvignon-blanc/w/10872888?year=2022&price_id=35631003
